"","Ctl-1","Ctl-2","Ctl-3","Ctl-4","Ctl-Lin-1","Ctl-Lin-3","Ctl-Lin-4","Ctl-Lin-5","Ctl-Van-1","Ctl-Van-2","Ctl-Van-3","Ctl-Van-4","24h-1","24h-2","24h-3","24h-5","24h-lin-1","24h-lin-3","24h-lin-4","24h-lin-5","24h-Van-1","24h-Van-2","24h-Van-3","24h-Van-4"
"1436530_at",6.62765559999099,6.8568962335484,8.17455169910091,8.24986641802627,7.40964883975196,8.14119804910242,7.21527049823784,7.42069109134135,8.5582771967112,9.07355353921407,8.92485627473796,9.00462039153141,11.1063973080233,13.7860633079174,11.6289591966197,13.4076849865566,11.7997940716761,12.1526671354929,12.1214631578864,12.0672771134151,12.2128268474321,11.0479584124789,12.0722830823299,11.4592485239418
"1457728_at",8.08546807266518,7.56427153779815,8.06104896270153,7.46182084285329,7.93411578587364,7.87949573986341,8.0606944740374,7.65412911806594,7.80851685190338,8.60754094327798,7.6327048807715,8.35443669308766,5.23785874296982,5.43521033645453,5.25020060568186,5.53426370526229,5.48755272137604,5.73740760025645,5.43973770534264,5.73358663927201,5.82165789560267,5.85904140964668,6.36407696387181,6.39419120918102
"1446929_at",7.08686317558508,6.85628515716298,7.57584490945222,7.38922174231055,7.04464254895137,7.35898907080668,7.33704965555531,7.38834615457702,6.93237958253563,7.85565798077698,7.06492932959789,7.43856907390311,6.62320909950647,5.86546116962662,5.79367182867266,6.08682388596143,6.12118428929328,6.42742105035107,6.07117948935634,5.86341197705422,5.99668735450386,6.03433573692111,6.2345967587948,6.732548242351
"1426113_x_at",11.6136110427858,11.5683727917587,11.4601351278091,11.6163785862688,11.3932897632569,11.73290345613,11.7982489073378,11.5855123322785,11.6546149894208,11.837313826554,11.5107540985713,11.7447776934747,10.8254150107798,9.77662354905018,9.30836566099928,9.73790458453206,10.0139198027224,9.64594990035496,9.32012310360729,9.45291529696069,9.67832863674892,9.67930477214161,9.31889387804726,10.6701852100047
"1436040_at",7.34154877569622,7.0244641604511,7.23563932898624,7.41238704515588,7.0616737656567,7.50483889830652,7.42837067299756,7.28635625050988,7.1873185774623,7.78333588860132,7.60094844622486,7.50044266473981,6.95224247406945,6.26041351710853,5.88853420780814,6.04220599910773,5.8771972921097,6.6114447583775,5.96071511982589,5.9627433423491,6.31916932611452,5.89818494390332,6.08922621744122,6.67462156114789
"1456765_at",7.35376163604961,7.458643642391,7.6077424934434,7.78830726973601,7.50534820462201,7.72183750788359,7.40397976838677,7.59840976498025,7.38394527710486,7.79501045360668,7.56125218206058,8.11796600119245,8.37408481972625,9.61076981212418,8.53255956148752,9.52613020605854,8.30463680637806,8.46856088261131,8.641139846676,8.32626836270339,8.35927993376256,8.33942867795328,8.59202418467321,8.30848343457741
"1428562_at",6.57284514406073,7.11007399334824,7.29930801260642,7.56477516124003,7.06800995808598,7.08905442543819,7.30978424904203,7.22331019755049,7.03768590398986,7.15888619189916,7.52640783001085,7.4223382650353,9.60745566582265,8.66146267676921,7.92813328063296,8.30609382417873,7.6819574352366,7.74300844617146,7.83280807361041,8.00711480288981,7.61646596364115,7.89337597207083,8.16546144723972,8.3415913841306
"1440451_at",4.82016278285559,5.00758039378301,5.1236211314994,5.02682021755093,5.06533941282951,5.10287861270614,5.05853309715531,5.07524389098851,5.17948831633835,4.98138258245811,5.24867870463046,4.97066559759267,5.82515215701634,6.72120262644441,6.15709728168572,6.28093182360904,5.53013632514573,5.89478639676775,5.80064219124862,6.07265089176054,5.56725939312037,5.8705300035189,6.21744526443934,5.72249222083872
"1434068_s_at",11.7205746900567,11.7293693220001,11.877887308676,11.8667291956955,11.0488220802716,11.3004162102693,11.2521402268432,11.9338247862118,11.1914975250369,10.9054134844829,11.0742432466084,11.1499131895996,10.7183682883796,10.5760576575835,12.0648361097342,11.0337968071586,12.1402859315763,12.247380286797,11.973264394206,11.8321625730633,12.1683421342427,11.78076218337,11.8170461754096,11.4141426289543
"1416106_at",7.41723037860764,7.38737341953147,7.44537657888016,7.40498291737023,7.26589997388518,7.67687701217039,7.55404024643723,7.39180355265929,7.30601949023698,7.81239639446524,7.57106387055296,7.7022008600703,7.44394662904797,6.47567774256585,6.36306861646403,6.95981370608182,6.61522712980677,6.74812782047964,6.53453212285439,6.52478637075185,6.97567368691541,6.10916660555893,6.70201647539434,6.51086156507449
"1426168_a_at",10.3788997915564,10.4087788456351,10.2737234455599,10.5040085845288,10.2547714579217,10.617575992617,10.6281020945539,10.6199027718463,10.6219195984977,10.7643894708837,10.2789686646747,10.6699189325209,9.68399825801248,8.61026658357184,7.9467549027023,8.51087314408561,8.69827348776658,8.44864313212575,7.81737357589316,8.09721098176077,8.58783496805666,8.26380342224051,7.99905143223532,9.50671467304341
"1426716_at",7.62578662772463,7.65814820801262,7.89245595047467,7.79874212003319,7.43701076123343,7.73945140933311,7.97275045013498,7.85193788004029,7.76558127659989,7.31400781351311,8.06693841928222,7.86928100293854,7.54217821307353,8.98306785746216,9.18449750488911,8.81464742648852,9.15066867445849,9.34821525145919,9.78694070147706,8.68627951156652,9.15492187406334,8.31247735554125,8.64071939966473,8.06842922660189
"1427765_a_at",6.6452623778024,6.62364885203513,6.8443774756541,6.85155189466051,6.37011951468519,6.6997051390832,6.82078141025968,6.7236240146453,7.2099892404236,6.65828458072233,6.42032771815864,6.76328221577695,5.53206081210592,5.29470018784299,5.55786774516814,5.26734240590843,5.8925187411843,5.41910939220134,5.13988065075629,5.61231720529022,5.76888306992283,5.68135659313972,5.12227419977554,5.63839890273867
"1427752_a_at",6.15038311346425,6.36944842409286,6.56285989107496,6.66691727572178,6.17227003663734,6.44025983422918,6.52706867720356,6.41534927248776,6.47093337664276,6.78710253731262,6.15150429197909,6.51492324094613,5.82282020129451,5.45909344435216,5.52788434971985,5.18439459947129,5.86737801980573,5.37386090615364,5.06251282716483,4.91698607882569,5.2550582368839,5.45486084481646,5.2146544155154,5.48483794138925
"1437658_a_at",6.83169224221954,6.64717641217013,7.00368517351547,6.89164673033879,6.72910307722564,7.31322655003446,7.21878489308711,7.11780233191838,7.05168899953301,7.44169490135768,7.18521427254888,7.48977568268614,7.35255687964027,5.95984909077684,5.97543698187615,6.34970845134001,6.29796978285747,6.08413268275262,6.34653379755723,6.14183271597335,6.02644277389591,6.0423324736351,6.15178754394152,6.51230852760851
"1433735_a_at",8.200577057366,8.04887949224199,8.36218307758444,8.31937164278559,8.04382515880113,8.46153767030777,8.41705737782137,8.55089741847765,8.27626584199753,8.42621905351729,8.31863479057596,8.54750861075552,9.18456988922733,6.7935758205131,6.69296508284745,6.84092430429864,7.00625201066292,6.77463851578598,7.09743032739832,7.207042664498,6.77463851578598,6.28972697010549,6.7306044105091,7.906822824184
"1417300_at",6.82752854844202,6.96325658085513,7.09278190849845,7.15213249388,6.90037713864594,7.08857342321867,7.11062542969715,7.35821310331251,6.66645236406151,6.83688360270383,7.79629745295976,7.08896086874966,9.42356929140085,9.74061071130942,9.82922010214217,10.1191811421698,9.3067955210688,9.60624770715092,9.1220420905307,9.25332842974701,9.42405827980035,6.52188706128503,9.15741032018502,6.61617137845551
"1456393_at",8.8010890340757,8.96454207972532,8.66924479817127,8.9444350393263,8.83445369736585,8.84446563685365,9.20048014884664,9.02792027498731,9.08178626209248,9.22850737751273,8.88926628658475,9.26008292077234,9.26203110867377,7.59672031073914,7.34398203562613,7.66014168236605,7.81767470529687,7.23221281470174,7.51868580999724,7.63865208727933,7.62158523712208,7.76452038912687,7.66619672172942,8.5897824390473
"1445106_at",6.269751157636,5.87639916948165,6.69001959603791,6.42238763399159,5.87507723530581,6.26202009527307,6.01173341079534,5.84247440646402,6.14771263779046,6.29997240873295,6.24050800817132,6.28595761974756,5.49640558627235,5.41071995986166,5.43749089609609,5.52347754852148,5.62205378876017,5.54243775879397,5.27109132002706,5.62642726881683,5.22446604943407,5.34385963961618,5.41869998197923,5.55248469880814
